user_key	month_day	day	step_num	kcal	km	time	speed
user_19	29	TUE	19919	398.38	9.9595	23:48:20	4
user_48	22	TUE	10929	218.58	5.4645	02:13:47	7.1
user_13	25	FRI	10962	219.24	5.481	02:18:32	6.3
user_36	22	TUE	18612	372.24	9.306	20:40:08	8.6
user_98	22	TUE	3929	78.58	1.9645	09:25:47	0.8
user_93	24	THR	4392	87.84	2.196	10:32:27	2.8
user_67	23	WEN	6256	125.12	3.128	15:00:52	0.2
user_75	25	FRI	6211	124.22	3.1055	14:54:23	7.6
user_91	27	SUN	15748	314.96	7.874	13:47:43	4.3
user_63	26	SAT	4804	96.08	2.402	11:31:47	9.4
user_27	28	MON	19610	392.2	9.805	23:03:50	8.7
user_37	24	THR	2594	51.88	1.297	06:13:32	8.7
user_66	25	FRI	15474	309.48	7.737	13:08:15	7.8
user_75	23	WEN	18556	371.12	9.278	20:32:04	0.4
user_42	23	WEN	5814	116.28	2.907	13:57:13	1.4
user_37	27	SUN	15232	304.64	7.616	12:33:24	6.5
user_48	31	THR	14097	281.94	7.0485	09:49:58	6.6
user_52	28	MON	5478	109.56	2.739	13:08:50	4.9
user_55	31	THR	11728	234.56	5.864	04:08:50	3.2
user_84	24	THR	9864	197.28	4.932	23:40:25	0.9
user_13	29	TUE	2885	57.7	1.4425	06:55:26	4.3
user_42	25	FRI	14772	295.44	7.386	11:27:10	7.5
user_89	25	FRI	14709	294.18	7.3545	11:18:06	6.9
user_75	27	SUN	10139	202.78	5.0695	00:20:01	2.7
user_63	22	TUE	9228	184.56	4.614	22:08:50	8
user_2	21	MON	175	3.5	0.0875	00:25:12	7.6
user_100	24	THR	18872	377.44	9.436	21:17:34	9
user_3	28	MON	17010	340.2	8.505	16:49:26	1.7
user_68	28	MON	18282	365.64	9.141	19:52:36	6.3
user_94	30	WEN	18010	360.2	9.005	19:13:26	0.3
user_88	28	MON	19029	380.58	9.5145	21:40:11	0.7
user_24	22	TUE	16558	331.16	8.279	15:44:21	2.3
user_97	25	FRI	19637	392.74	9.8185	23:07:44	1.4
user_18	28	MON	4200	84	2.1	10:04:48	9.6
user_27	29	TUE	8592	171.84	4.296	20:37:15	4.5
user_74	23	WEN	12667	253.34	6.3335	06:24:03	3.4
user_61	29	TUE	19418	388.36	9.709	22:36:12	5.8
user_65	28	MON	6955	139.1	3.4775	16:41:31	6.3
user_52	25	FRI	4415	88.3	2.2075	10:35:46	0.6
user_16	28	MON	11141	222.82	5.5705	02:44:18	1.6
user_15	26	SAT	6427	128.54	3.2135	15:25:29	8.2
user_86	21	MON	3447	68.94	1.7235	08:16:22	9.6
user_18	25	FRI	8461	169.22	4.2305	20:18:23	8.1
user_67	21	MON	14824	296.48	7.412	11:34:39	8.3
user_54	25	FRI	13916	278.32	6.958	09:23:54	9.1
user_90	21	MON	14562	291.24	7.281	10:56:56	4
user_85	25	FRI	12530	250.6	6.265	06:04:19	3.1
user_36	27	SUN	17864	357.28	8.932	18:52:25	0.3
user_9	30	WEN	2139	42.78	1.0695	05:08:01	9.1
user_67	29	TUE	18463	369.26	9.2315	20:18:40	0.1
user_41	30	WEN	7538	150.76	3.769	18:05:28	9.1
user_32	29	TUE	2308	46.16	1.154	05:32:21	5.5
user_26	22	TUE	18698	373.96	9.349	20:52:31	3.5
user_100	25	FRI	17309	346.18	8.6545	17:32:30	5.4
user_87	25	FRI	4823	96.46	2.4115	11:34:31	3
user_33	30	WEN	14991	299.82	7.4955	11:58:42	1.8
user_49	26	SAT	14942	298.84	7.471	11:51:39	4.3
user_15	31	THR	18384	367.68	9.192	20:07:18	0.2
user_30	21	MON	19792	395.84	9.896	23:30:03	1.1
user_59	29	TUE	3338	66.76	1.669	08:00:40	1.4
user_14	30	WEN	14485	289.7	7.2425	10:45:50	5.3
user_38	21	MON	2539	50.78	1.2695	06:05:37	8.1
user_80	30	WEN	19922	398.44	9.961	23:48:46	5.4
user_34	22	TUE	10770	215.4	5.385	01:50:53	7.6
user_37	24	THR	5244	104.88	2.622	12:35:08	0.7
user_80	24	THR	6758	135.16	3.379	16:13:09	3.4
user_75	25	FRI	19889	397.78	9.9445	23:44:01	2
user_9	23	WEN	7288	145.76	3.644	17:29:28	4.5
user_98	24	THR	13898	277.96	6.949	09:21:19	4.1
user_49	26	SAT	1418	28.36	0.709	03:24:12	1.2
user_39	23	WEN	1279	25.58	0.6395	03:04:11	9
user_48	24	THR	19339	386.78	9.6695	22:24:49	8.7
user_6	21	MON	5084	101.68	2.542	12:12:06	7.2
user_76	31	THR	969	19.38	0.4845	02:19:32	3.4
user_56	27	SUN	16287	325.74	8.1435	15:05:20	3.2
user_82	26	SAT	10089	201.78	5.0445	00:12:49	5.2
user_14	27	SUN	5488	109.76	2.744	13:10:16	8.5
user_96	31	THR	17726	354.52	8.863	18:32:33	1
user_85	31	THR	9729	194.58	4.8645	23:20:59	1.8
user_46	25	FRI	15226	304.52	7.613	12:32:33	7.5
