서울역(150),2017-04-01,승차,493 ,513 ,654 ,1517 ,2104 ,2522 ,3440 ,3901 ,3800 ,3332 ,4773 ,4835 ,5653 ,4178 ,3189 ,2640 ,2947 ,2441 ,927 ,43 ,0
서울역(150),2017-04-01,하차,385 ,2074 ,1923 ,2511 ,3377 ,3021 ,3006 ,3704 ,3563 ,3487 ,3564 ,3813 ,3665 ,3571 ,3006 ,2137 ,2029 ,1473 ,838 ,278 ,0 
서울역(150),2017-04-02,승차,342 ,340 ,413 ,944 ,1533 ,1734 ,2553 ,2710 ,2796 ,2303 ,3001 ,3525 ,3668 ,3154 ,2879 ,2572 ,3038 ,2665 ,965 ,86 ,0 
서울역(150),2017-04-02,하차,197 ,1229 ,1119 ,1369 ,1958 ,1996 ,1926 ,2382 ,2407 ,2751 ,2831 ,3068 ,3190 ,2721 ,2713 ,1994 ,1629 ,1397 ,640 ,138 ,0 
서울역(150),2017-04-03,승차,467 ,603 ,2137 ,3296 ,2121 ,2094 ,2626 ,2883 ,2752 ,2399 ,3004 ,3225 ,4466 ,8952 ,5342 ,3376 ,3402 ,2235 ,1174 ,148 ,0 
서울역(150),2017-04-03,하차,376 ,2566 ,5344 ,10582 ,5197 ,2622 ,2374 ,2365 ,2389 ,2287 ,2261 ,2415 ,2621 ,3149 ,2579 ,1695 ,1503 ,1277 ,708 ,240 ,17 
서울역(150),2017-04-04,승차,443 ,573 ,1611 ,2916 ,2048 ,2100 ,2516 ,2721 ,2727 ,2462 ,3153 ,3163 ,4702 ,8955 ,5217 ,3529 ,3499 ,2169 ,1166 ,150 ,0 
서울역(150),2017-04-04,하차,324 ,2015 ,4937 ,10254 ,5196 ,2710 ,2404 ,2427 ,2344 ,2267 ,2399 ,2514 ,2772 ,3252 ,2489 ,1688 ,1538 ,1415 ,722 ,272 ,17 
서울역(150),2017-04-05,승차,415 ,572 ,1685 ,2953 ,2072 ,2090 ,2394 ,2763 ,2664 ,2304 ,3144 ,3385 ,4991 ,9684 ,5019 ,3399 ,3595 ,2073 ,1322 ,284 ,0 
서울역(150),2017-04-05,하차,296 ,2015 ,4450 ,10375 ,5615 ,2491 ,2284 ,2262 ,2312 ,2375 ,2525 ,2598 ,2799 ,3588 ,2397 ,1634 ,1510 ,1272 ,787 ,266 ,16 
서울역(150),2017-04-06,승차,378 ,545 ,1595 ,2965 ,2034 ,2088 ,2538 ,2847 ,2872 ,2475 ,3295 ,3607 ,4797 ,9027 ,5178 ,3294 ,3713 ,2262 ,1189 ,242 ,1 
서울역(150),2017-04-06,하차,308 ,2021 ,4572 ,10241 ,5602 ,2809 ,2301 ,2379 ,2396 ,2175 ,2508 ,2629 ,2883 ,3363 ,2554 ,1676 ,1619 ,1619 ,790 ,290 ,28 
서울역(150),2017-04-07,승차,475 ,580 ,1633 ,2772 ,2422 ,2030 ,2852 ,3155 ,3107 ,2844 ,3715 ,4131 ,5827 ,9828 ,5810 ,3730 ,4050 ,3317 ,1454 ,381 ,0 
서울역(150),2017-04-07,하차,327 ,2003 ,4444 ,9959 ,5496 ,2847 ,2463 ,2679 ,2873 ,2721 ,2945 ,3277 ,3680 ,4782 ,4060 ,2242 ,2180 ,1761 ,954 ,446 ,39 
서울역(150),2017-04-08,승차,480 ,532 ,717 ,1637 ,2417 ,2422 ,3591 ,4150 ,3783 ,3715 ,4317 ,5100 ,5330 ,4460 ,3106 ,2906 ,2958 ,2573 ,1074 ,51 ,0 
서울역(150),2017-04-08,하차,423 ,2510 ,2158 ,2867 ,3735 ,3213 ,3401 ,3911 ,3740 ,3642 ,3674 ,3864 ,4480 ,3610 ,3219 ,2353 ,2295 ,1641 ,1063 ,249 ,0 
서울역(150),2017-04-09,승차,335 ,352 ,449 ,997 ,1573 ,1939 ,2508 ,2716 ,2809 ,2368 ,3172 ,3363 ,3673 ,3030 ,2703 ,2554 ,2612 ,2143 ,516 ,72 ,0 
서울역(150),2017-04-09,하차,170 ,1303 ,1226 ,1433 ,1914 ,2011 ,1966 ,2454 ,2550 ,2516 ,3013 ,2913 ,3226 ,2831 ,2684 ,1907 ,1755 ,1162 ,586 ,116 ,0 
서울역(150),2017-04-10,승차,539 ,653 ,2019 ,3321 ,2087 ,2286 ,2585 ,2875 ,2792 ,2392 ,3197 ,3226 ,4388 ,9071 ,5319 ,3658 ,3398 ,2191 ,1114 ,174 ,1 
서울역(150),2017-04-10,하차,393 ,2619 ,5371 ,10397 ,5353 ,2823 ,2509 ,2408 ,2413 ,2347 ,2425 ,2413 ,2862 ,2990 ,2699 ,1701 ,1588 ,1231 ,653 ,226 ,12 
서울역(150),2017-04-11,승차,455 ,598 ,1673 ,2909 ,2091 ,2073 ,2577 ,2719 ,2819 ,2461 ,3083 ,3376 ,4771 ,9156 ,5225 ,3510 ,3405 ,2191 ,1124 ,214 ,0 
서울역(150),2017-04-11,하차,286 ,2156 ,4912 ,10337 ,5367 ,2593 ,2278 ,2702 ,2385 ,2289 ,2503 ,2299 ,2961 ,3269 ,2516 ,1786 ,1626 ,1382 ,711 ,258 ,7 
서울역(150),2017-04-12,승차,443 ,573 ,1673 ,2934 ,2009 ,2058 ,2572 ,2808 ,2784 ,2438 ,3108 ,3234 ,5253 ,9641 ,4949 ,3063 ,3358 ,2123 ,1082 ,182 ,0 
서울역(150),2017-04-12,하차,297 ,2016 ,4911 ,10383 ,5235 ,2416 ,2431 ,2304 ,2557 ,2348 ,2371 ,2555 ,2912 ,3478 ,2413 ,1850 ,1640 ,1441 ,755 ,283 ,30 
서울역(150),2017-04-13,승차,459 ,566 ,1684 ,2793 ,2050 ,2046 ,2667 ,2908 ,2856 ,2552 ,3146 ,3319 ,4961 ,9049 ,5200 ,3417 ,3712 ,2350 ,1224 ,192 ,0 
서울역(150),2017-04-13,하차,332 ,2075 ,4812 ,10455 ,5643 ,2676 ,2540 ,2509 ,2571 ,2266 ,2424 ,2631 ,2977 ,3433 ,2506 ,1713 ,1759 ,1429 ,787 ,316 ,18 
서울역(150),2017-04-14,승차,411 ,531 ,1629 ,2719 ,2112 ,2117 ,2690 ,3094 ,3316 ,2745 ,3958 ,4677 ,5938 ,10049 ,5639 ,3570 ,3755 ,3255 ,1450 ,269 ,0 
서울역(150),2017-04-14,하차,308 ,1768 ,4229 ,9754 ,5543 ,2741 ,2469 ,3008 ,3220 ,2856 ,2851 ,3217 ,3709 ,4696 ,3769 ,2200 ,2134 ,1625 ,976 ,400 ,40 
서울역(150),2017-04-15,승차,496 ,473 ,751 ,1621 ,2317 ,2289 ,3459 ,4099 ,3765 ,3371 ,4157 ,4329 ,5529 ,4123 ,3046 ,2860 ,2956 ,2341 ,979 ,54 ,0 
서울역(150),2017-04-15,하차,306 ,2004 ,2107 ,2491 ,3523 ,3133 ,3003 ,3667 ,3444 ,3472 ,3706 ,3892 ,4055 ,3410 ,2793 ,2160 ,2026 ,1848 ,1059 ,318 ,0 
서울역(150),2017-04-16,승차,344 ,393 ,490 ,916 ,1455 ,1910 ,2346 ,2732 ,2742 ,2324 ,3411 ,3645 ,3723 ,3083 ,2734 ,2485 ,3071 ,2268 ,751 ,54 ,0 
서울역(150),2017-04-16,하차,188 ,1187 ,1222 ,1568 ,2007 ,2237 ,2327 ,2466 ,2790 ,3128 ,3051 ,3172 ,3096 ,2754 ,2754 ,1923 ,1743 ,1181 ,737 ,148 ,0 
서울역(150),2017-04-17,승차,431 ,654 ,2044 ,3047 ,2088 ,2110 ,2659 ,2925 ,2541 ,2309 ,3242 ,3079 ,4643 ,9017 ,4962 ,3070 ,2922 ,1983 ,946 ,150 ,0 
서울역(150),2017-04-17,하차,395 ,2530 ,5294 ,10210 ,5390 ,2584 ,2361 ,2282 ,2406 ,2205 ,2153 ,2208 ,2557 ,2863 ,2388 ,1567 ,1495 ,1230 ,580 ,227 ,9 
서울역(150),2017-04-18,승차,446 ,572 ,1681 ,2858 ,2097 ,2116 ,2484 ,2872 ,2735 ,2429 ,3117 ,3228 ,4524 ,9195 ,5156 ,3154 ,3286 ,2066 ,1025 ,132 ,0 
서울역(150),2017-04-18,하차,336 ,2092 ,4816 ,10609 ,5248 ,2517 ,2359 ,2315 ,2595 ,2266 ,2561 ,2392 ,2416 ,3147 ,2351 ,1566 ,1499 ,1347 ,650 ,250 ,10 
서울역(150),2017-04-19,승차,447 ,532 ,1657 ,2751 ,2030 ,2049 ,2562 ,2800 ,2637 ,2299 ,2877 ,3319 ,5176 ,9418 ,4963 ,3095 ,3333 ,2182 ,977 ,154 ,0 
서울역(150),2017-04-19,하차,287 ,1976 ,4819 ,10429 ,5334 ,2549 ,2286 ,2356 ,2408 ,2315 ,2374 ,2492 ,2826 ,3340 ,2512 ,1735 ,1526 ,1457 ,674 ,278 ,22 
서울역(150),2017-04-20,승차,444 ,549 ,1647 ,2685 ,1971 ,2121 ,2601 ,2771 ,2793 ,2549 ,3082 ,3390 ,4616 ,9026 ,5254 ,3444 ,3466 ,2153 ,1144 ,198 ,0 
서울역(150),2017-04-20,하차,287 ,2105 ,4788 ,10395 ,5391 ,2693 ,2374 ,2259 ,2407 ,2265 ,2363 ,2527 ,2724 ,3286 ,2461 ,1703 ,1626 ,1356 ,788 ,285 ,26 
